lon,lat,label,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_range,ndvi_first,ndvi_last,overall_change,largest_drop,ndvi_slope,early_mean,late_mean,early_late_change,min_ndvi_timestep
-54.595477307397026,-3.641303363464666,deforested,0.5995973348617554,0.1501738071154911,0.3374508619308471,0.8707916140556335,0.5333407521247864,0.8707916140556335,0.5520526766777039,-0.3187389373779297,-0.09144151210784912,-0.017433375275653324,0.7252975553274155,0.4738971143960953,-0.2514004409313202,15
-54.571395228220226,-3.61574474798665,deforested,0.5060736226538817,0.1778969508653953,0.3032786846160888,0.8489544987678528,0.5456758141517639,0.844115674495697,0.506840169429779,-0.33727550506591797,-0.1478374600410462,-0.014908091542513451,0.5850231175621351,0.42712412774562836,-0.15789898981650674,8
-54.55802894699865,-3.5360814407233225,deforested,0.4957522638142109,0.23390121789692825,0.1469780206680297,0.87897127866745,0.7319932579994203,0.8670344948768616,0.5687304735183716,-0.29830402135849,-0.35610970854759216,-0.0002636539936065449,0.4442623083790143,0.5472422192494074,0.1029799108703931,8
-54.65190698836277,-3.637025474783924,deforested,0.6007106850544611,0.15885316643441297,0.395558625459671,0.8693776726722717,0.4738190472126007,0.8678720593452454,0.4161162376403808,-0.45175582170486456,-0.11453881859779358,-0.01982813389404957,0.7256304721037546,0.47579089800516766,-0.24983957409858698,13
-54.65675960341452,-3.6346661480960094,deforested,0.5793857102592787,0.19962719048773928,0.3141711354255676,0.889374852180481,0.5752037167549133,0.889374852180481,0.4217033088207245,-0.46767154335975647,-0.10652267932891846,-0.02634611420009446,0.7541562716166178,0.4046151489019394,-0.3495411227146784,18
-54.68435257323995,-3.5863106818834276,deforested,0.615591907252868,0.12992927018223455,0.3668047785758972,0.8273937106132507,0.4605889320373535,0.8273937106132507,0.5612903237342834,-0.2661033868789673,-0.1229962706565857,-0.012778512770714963,0.7076049695412318,0.5235788449645042,-0.1840261245767275,17
-54.6101608268263,-3.5685785797878293,deforested,0.5680739283561707,0.17026918362832338,0.3467462956905365,0.8762567639350891,0.5295104682445526,0.8762567639350891,0.4290565252304077,-0.4472002387046814,-0.29020410776138306,-0.02068647503852843,0.718953087925911,0.41719476878643036,-0.3017583191394806,18
-54.65902854827921,-3.6236861658039983,deforested,0.6714979857206345,0.10862786948070989,0.5161964297294617,0.8561689257621765,0.33997249603271484,0.8561689257621765,0.5566022396087646,-0.29956668615341187,-0.08745759725570679,-0.014053524214288437,0.7640808522701263,0.5789151191711426,-0.18516573309898376,17
-54.5547269039441,-3.5825362001801953,deforested,0.6586194261908531,0.11097021815266933,0.5224867463111877,0.9122847318649292,0.38979798555374146,0.8867706656455994,0.6199377179145813,-0.26683294773101807,-0.3328767418861389,-0.009894399098727991,0.7258206109205881,0.5914182414611181,-0.13440236945947004,15
-54.5940889318542,-3.64053688926101,deforested,0.5070127310852209,0.18555477404188084,0.2682072818279266,0.8957878351211548,0.6275805532932281,0.8957878351211548,0.4845656752586365,-0.4112221598625183,-0.1367219090461731,-0.018088032797626812,0.6176877642671267,0.39633769790331524,-0.22135006636381144,15
-54.65658822993901,-3.620537712350305,deforested,0.6531252364317576,0.11963136499386749,0.5494917035102844,0.8926108479499817,0.34311914443969727,0.8885500431060791,0.5546438097953796,-0.33390623331069946,-0.12984341382980347,-0.014675527500069629,0.742656742533048,0.5635937303304672,-0.1790630122025808,22
-54.73877632133348,-3.586408111780737,deforested,0.638621598482132,0.09456396602230692,0.5071004629135132,0.8610108494758606,0.3539103865623474,0.8610108494758606,0.5444839596748352,-0.3165268898010254,-0.08516395092010498,-0.011971712267917116,0.7103910247484843,0.5668521722157797,-0.1435388525327046,20
-54.70362463903826,-3.637788990675754,deforested,0.6223681606352329,0.098901836661993,0.4488188922405243,0.8492462038993835,0.40042731165885925,0.8492462038993835,0.5845410823822021,-0.2647051215171814,-0.14303743839263916,-0.00641956589792084,0.656999759376049,0.5877365618944168,-0.06926319748163223,6
-54.70019464229801,-3.536403445134578,deforested,0.6534607795377573,0.19715723041392866,0.2717306315898895,0.8747010827064514,0.6029704511165619,0.8747010827064514,0.2894590198993683,-0.5852420628070831,-0.17166545987129211,-0.02630445450544356,0.8215956290562948,0.4853259300192197,-0.3362696990370751,21
-54.65974148554049,-3.5900608927492628,deforested,0.5924170948565006,0.16364450276517126,0.3651551306247711,0.8951101899147034,0.5299550592899323,0.8777648210525513,0.5131228566169739,-0.3646419644355774,-0.2333068549633026,-0.018886543188406033,0.7049357866247495,0.47989840308825177,-0.22503738353649777,14
-54.650371115714655,-3.6193926049039247,deforested,0.4824045201142629,0.17148516168479658,0.3123462796211242,0.8526727557182312,0.5403264760971069,0.8526727557182312,0.4669617414474487,-0.3857110142707825,-0.16316354274749756,-0.016484641743742885,0.5762776707609495,0.3885313694675763,-0.18774630129337316,18
-54.66074226279377,-3.670748923450308,deforested,0.5875876906017462,0.2106367404235145,0.2032378017902374,0.8640984296798706,0.6608606278896332,0.8640984296798706,0.227600410580635,-0.6364980190992356,-0.08052754402160645,-0.026456851725992915,0.7431296606858572,0.43204572051763535,-0.31108394016822183,21
-54.63047349449035,-3.5234343833974417,deforested,0.6234756633639336,0.15275506077807963,0.4008952677249908,0.8351126909255981,0.43421742320060736,0.7821922898292542,0.4008952677249908,-0.38129702210426336,-0.14563354849815374,-0.01934635416321129,0.7655858844518661,0.481365442276001,-0.2842204421758652,23
-54.63015511436384,-3.505109329844626,deforested,0.5114846061915159,0.12368569459959011,0.2310772985219955,0.6625074148178101,0.43143011629581457,0.6491720676422119,0.2310772985219955,-0.4180947691202164,-0.22339859604835519,-0.015823532504879917,0.5977730030814806,0.42519620930155116,-0.17257679377992946,23
-54.61483179915509,-3.572992549620534,deforested,0.5320637077093124,0.14671169264947156,0.3833875358104706,0.8885630369186401,0.5051755011081696,0.8876532912254333,0.5639810562133789,-0.32367223501205444,-0.3029459118843079,-0.010343604450640458,0.5861630241076151,0.4779643913110097,-0.10819863279660541,18
-54.55641778487104,-3.694565684332872,deforested,0.6172432415187359,0.14011247119987474,0.3356778621673584,0.8712736964225769,0.5355958342552185,0.8712736964225769,0.5436318516731262,-0.3276418447494507,-0.1892414093017578,-0.014315834498923735,0.725337564945221,0.5091489180922508,-0.21618864685297012,13
-54.71044746693243,-3.5558519358470653,deforested,0.6375353919963042,0.1634779829043858,0.3227291703224182,0.8509492874145508,0.5282201170921326,0.8253157734870911,0.3227291703224182,-0.5025866031646729,-0.14956623315811157,-0.020562043384365392,0.7819508165121078,0.4931199674805005,-0.28883084903160733,23
-54.64232660683616,-3.5780810798661897,deforested,0.6678978701432546,0.17519280031523482,0.3290870487689972,0.8800628185272217,0.5509757697582245,0.8800628185272217,0.3290870487689972,-0.5509757697582245,-0.12551000714302063,-0.02237789980743241,0.8166541655858358,0.5191415747006735,-0.29751259088516235,23
-54.66097996145795,-3.5831537335690062,deforested,0.6242159393926462,0.19422585958396113,0.2898944318294525,0.8759936690330505,0.586099237203598,0.8649864792823792,0.3244338631629944,-0.5405526161193848,-0.28531065583229065,-0.02303147418343499,0.7871498167514801,0.4612820620338122,-0.3258677547176679,14
-54.72203072825024,-3.5385492184582024,deforested,0.5912807521720728,0.15009516551653246,0.42447629570961,0.865416407585144,0.44094011187553406,0.865416407585144,0.5322640538215637,-0.3331523537635803,-0.10758602619171143,-0.015481214147546978,0.6667419398824374,0.5158195644617081,-0.15092237542072928,8
-54.75109684820777,-3.634763782941376,deforested,0.6352832814057668,0.15155203884337237,0.3368025422096252,0.8575107455253601,0.5207082033157349,0.7829073667526245,0.5088548064231873,-0.27405256032943726,-0.25480169057846075,-0.011364396836446666,0.6830825284123421,0.5874840343991915,-0.09559849401315057,6
-54.63626362324279,-3.5695865304027787,deforested,0.455487114066879,0.25571521615365,0.1414868086576461,0.8949152827262878,0.7534284740686418,0.8949152827262878,0.5386037826538086,-0.35631150007247925,-0.16379627585411072,-0.018910117492727592,0.5635732573767503,0.3474009707570076,-0.21617228661974275,9
-54.58625888903368,-3.5484078055593207,deforested,0.6723999244471391,0.1701545722846648,0.3360253870487213,0.8936535120010376,0.5576281249523163,0.8884644508361816,0.5946082472801208,-0.2938562035560608,-0.2787288427352905,-0.018557139570298375,0.8102861493825912,0.5345136995116869,-0.2757724498709043,18
-54.55481057365907,-3.5101497600896265,deforested,0.6020372019459804,0.18039953010976395,0.1950617283582687,0.886725664138794,0.6916639357805252,0.886725664138794,0.553398072719574,-0.33332759141921997,-0.42246711254119873,-0.017060417850380344,0.6967375501990318,0.5073368536929289,-0.18940069650610292,17
-54.66324332088321,-3.5162112391862075,deforested,0.5673743685086569,0.16340829622853822,0.3715775609016418,0.8780263662338257,0.5064488053321838,0.8780263662338257,0.570155143737793,-0.3078712224960327,-0.20654529333114624,-0.014955174871112968,0.6562345946828524,0.4785141423344612,-0.17772045234839118,16
-54.61567949658258,-3.5700703577106805,deforested,0.5610893505314986,0.14119803038983902,0.3322277367115021,0.8736106753349304,0.5413829386234283,0.8689910173416138,0.561283528804779,-0.3077074885368347,-0.3162984251976013,-0.012660590112209307,0.655951663851738,0.4662270372112592,-0.1897246266404788,18
-54.75078137205791,-3.521908684542126,deforested,0.6227600798010826,0.20317979032361613,0.2975939214229584,0.9134615659713744,0.615867644548416,0.8942606449127197,0.2975939214229584,-0.5966667234897614,-0.21084082126617432,-0.02620560633099595,0.7842021336158117,0.4613180259863536,-0.32288410762945813,23
-54.59341609667326,-3.6376096255947368,deforested,0.4821508638560772,0.16245685448083239,0.27858567237854,0.8652144074440002,0.5866287350654602,0.8652144074440002,0.4692904055118561,-0.39592400193214417,-0.16985690593719482,-0.016291155232035566,0.5793769881129265,0.3849247395992279,-0.19445224851369858,18
-54.55602829518479,-3.683807285830812,deforested,0.641838209082683,0.1503983085179542,0.4238448441028595,0.8820638656616211,0.4582190215587616,0.8820638656616211,0.4741394817829132,-0.4079243838787079,-0.40098074078559875,-0.015655653334182215,0.7291045611103376,0.5545718570550283,-0.1745327040553093,21
-54.60508359050604,-3.613266840673878,deforested,0.6741555047531923,0.15891468445408483,0.3698974251747131,0.8921701312065125,0.5222727060317993,0.8827179670333862,0.3698974251747131,-0.5128205418586731,-0.19281876087188726,-0.020759825926759956,0.8153379559516907,0.5329730535546938,-0.28236490239699685,23
-54.63697610463655,-3.6921445575426897,deforested,0.7077425519625345,0.13637286491222067,0.4431372582912445,0.8815546035766602,0.43841734528541565,0.8815546035766602,0.4472205936908722,-0.43433400988578796,-0.07188776135444641,-0.017093164272930297,0.8140550156434377,0.6014300882816315,-0.21262492736180627,22
