Observations,Accuracy,Macro Precision,Macro Recall,Macro F1,Deforested Recall
6,0.6593406593406593,0.5285842293906811,0.5010759027266029,0.50224204663457,0.08695652173913043
8,0.6758241758241759,0.5797171327547411,0.5291844755588307,0.5359916734916735,0.13043478260869565
10,0.6428571428571429,0.5133786848072562,0.48875951854581184,0.48924974709728075,0.08695652173913043
12,0.6758241758241759,0.5952455231796344,0.5357111274871039,0.5485571587125416,0.17391304347826086
14,0.6703296703296703,0.5577777777777778,0.5258511422254974,0.5319273998173081,0.13043478260869565
16,0.6813186813186813,0.5886182429961232,0.5325178088921642,0.5408950617283951,0.13043478260869565
18,0.6813186813186813,0.5712613944321262,0.5302014247113731,0.5372332076873328,0.13043478260869565
20,0.6923076923076923,0.6068279569892473,0.5415008597396217,0.5499082216491213,0.13043478260869565
24,0.7197802197802198,0.6866666666666666,0.6028052075657087,0.6263552960800668,0.30434782608695654
